"","text","likes","retweets","timestamp","id"
"44","I started the Cancer Moonshot so we could be the generation that finally cures cancer.

You then tried to slash nearly $1 billion for cancer funding.

We're lucky that the cancer rate is down, but we're luckier that Congress stopped you. https://t.co/MY3BtXMLoE",38663,9367,2020-01-10 02:16:00,1215457388825923584
"45","Donald Trump brought us dangerously close to starting a new war with Iran without any semblance of a plan.

This moment requires a leader who will be ready on day one to pick up the pieces and repair the damage Trump has caused. https://t.co/HDNnbR8tEB",9443,2437,2020-01-10 15:15:00,1215653271961919488
"46","I've released 21 years of my tax returns. Why haven't you released any of yours, Mr. President?

Release your taxes or hush up about corruption. https://t.co/g1C7l4imKW",33806,7786,2020-01-10 18:35:00,1215703603098288128
"47","Make no mistake: the situation with Iran is a crisis of Donald Trump's own making. He brought us to the brink of war with no plan and no strategy.

He is the most erratic and incompetent commander in chief we've ever had. https://t.co/LkmJvh1FAn",24095,6325,2020-01-10 21:01:00,1215740345113141248
"48","Being a nation of immigrants is and has always been one of our greatest strengths. Our diversity has always made us stronger, but Donald Trump doesn’t get that. https://t.co/W8ORewXTYA",6236,1371,2020-01-11 00:05:00,1215786650137055232
"49","Firefighters represent the best of America — courageous, selfless, and always answering the call to duty. I'm grateful to those who are heading to help our friends in Australia battle devastating wildfires. https://t.co/ncemFZLB6M",9961,1735,2020-01-11 01:31:00,1215808474501844992
"50","Members of Teamsters Local 104 are striking against ASARCO for their unfair labor practices—I called into the picket line to support them. Every company should provide its workers with the pay and benefits they've earned—especially one that pulls in over $1 billion in profits. https://t.co/Pm1EYxodmU",1950,582,2020-01-11 17:45:00,1216053407779360768
"51","Congratulations to President Tsai and the people of Taiwan for another successful election. You are stronger because of your free and open society. The United States should continue strengthening our ties with Taiwan and other like-minded democracies. https://t.co/NAt6ldYpRj",8445,1651,2020-01-11 17:57:00,1216056642313359360
"52","What kind of nation are we if we simply accept that kids learn active shooter drills with their ABCs? We have to take on the @NRA and pass common-sense gun safety reforms to protect our children. https://t.co/d76FxbwBuB",9943,2540,2020-01-11 19:36:00,1216081341965590528
"53","I've seen firsthand how hard our educators work for little pay and with few resources. They deserve better. It's time we support our educators by giving them the pay and dignity they deserve. https://t.co/d1o4WnUNrt",3817,944,2020-01-11 21:26:00,1216109024040476672
